event,site,date,round,white,black,white_elo,black_elo,result,result_numeric,eco,total_moves,moves_san,moves_uci,elo_diff
URS-chT,Moscow,1959.??.??,?,"Gaprindashvili, Nona","Bishard, Ekaterina",,,1/2-1/2,0,C49,69,e4 e5 Nf3 Nc6 Nc3 Nf6 Bb5 Bb4 O-O O-O Bxc6 dxc6 d3 Re8 Ne2 Nh5 h3 Bd6 Bg5 f6 Be3 c5 Qd2 g6 Nh2 Be6 f4 exf4 Nxf4 Nxf4 Bxf4 f5 Nf3 Qd7 Kh1 fxe4 dxe4 Bxf4 Qxf4 Rf8 Qg3 Rae8 Rfe1 Qd6 Kh2 Qxg3+ Kxg3 Rf7 a3 Kg7 Rad1 h6 Kf2 Ref8 Re3 Re7 g4 Ref7 Kg3 Re7 Ree1 Rfe8 Kf4 Rf8+ Kg3 Rfe8 g5 hxg5 Nxg5,e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 f1b5 f8b4 e1g1 e8g8 b5c6 d7c6 d2d3 f8e8 c3e2 f6h5 h2h3 b4d6 c1g5 f7f6 g5e3 c6c5 d1d2 g7g6 f3h2 c8e6 f2f4 e5f4 e2f4 h5f4 e3f4 f6f5 h2f3 d8d7 g1h1 f5e4 d3e4 d6f4 d2f4 e8f8 f4g3 a8e8 f1e1 d7d6 h1h2 d6g3 h2g3 f8f7 a2a3 g8g7 a1d1 h7h6 g3f2 e8f8 e1e3 f7e7 g2g4 e7f7 f2g3 f7e7 e3e1 f8e8 g3f4 e8f8 f4g3 f8e8 g4g5 h6g5 f3g5,
URS-chT,Moscow,1959.??.??,?,Kolotij,"Gaprindashvili, Nona",,,0-1,-1,B01,116,e4 d5 exd5 Nf6 d4 Nxd5 c4 Nb6 Nc3 g6 Be3 Bg7 Nf3 O-O Be2 Nc6 Qb3 Nxd4 Nxd4 Bxd4 Rd1 e5 c5 Be6 Qc2 Nd7 Bxd4 exd4 Rxd4 Qf6 Rd2 Nxc5 O-O c6 b4 Nd7 Ne4 Qe7 Qc3 Bd5 Ng3 Qf6 Qc2 Rad8 f4 Qe7 Qc3 f5 Rfd1 Rfe8 Bc4 Nb6 Bb3 Qe3+ Qxe3 Rxe3 b5 Rde8 bxc6 bxc6 Bxd5+ Nxd5 Rd4 Re1+ Rxe1 Rxe1+ Kf2 Rc1 Ra4 Nc3 Rxa7 Rc2+ Kf3 Nxa2 Ne2 c5 g3 Nc3 Nxc3 Rxc3+ Kf2 Rc2+ Kg1 c4 Rc7 c3 h3 Rc1+ Kg2 c2 g4 fxg4 hxg4 h5 gxh5 gxh5 f5 Kf8 Kh2 h4 f6 h3 Rc3 Kf7 Rc6 Kg6 Rc3 Kxf6 Rc6+ Ke5 Rc5+ Ke4 Rc4+ Kd3 Rc8 Rd1,e2e4 d7d5 e4d5 g8f6 d2d4 f6d5 c2c4 d5b6 b1c3 g7g6 c1e3 f8g7 g1f3 e8g8 f1e2 b8c6 d1b3 c6d4 f3d4 g7d4 a1d1 e7e5 c4c5 c8e6 b3c2 b6d7 e3d4 e5d4 d1d4 d8f6 d4d2 d7c5 e1g1 c7c6 b2b4 c5d7 c3e4 f6e7 c2c3 e6d5 e4g3 e7f6 c3c2 a8d8 f2f4 f6e7 c2c3 f7f5 f1d1 f8e8 e2c4 d7b6 c4b3 e7e3 c3e3 e8e3 b4b5 d8e8 b5c6 b7c6 b3d5 b6d5 d2d4 e3e1 d1e1 e8e1 g1f2 e1c1 d4a4 d5c3 a4a7 c1c2 f2f3 c3a2 g3e2 c6c5 g2g3 a2c3 e2c3 c2c3 f3f2 c3c2 f2g1 c5c4 a7c7 c4c3 h2h3 c2c1 g1g2 c3c2 g3g4 f5g4 h3g4 h7h5 g4h5 g6h5 f4f5 g8f8 g2h2 h5h4 f5f6 h4h3 c7c3 f8f7 c3c6 f7g6 c6c3 g6f6 c3c6 f6e5 c6c5 e5e4 c5c4 e4d3 c4c8 c1d1,
URS-chT,Moscow,1959.??.??,?,"Gaprindashvili, Nona",Khuberashvili,,,1-0,1,B67,81,e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 Nf6 Nc3 d6 Bg5 e6 Qd2 a6 O-O-O Bd7 f4 b5 Bxb5 axb5 Ndxb5 Nb4 a3 Bxb5 Nxb5 d5 e5 Qa5 Nc3 Nc6 exf6 Bxa3 Nb1 Bxb2+ Kxb2 Rb8+ Kc1 Qa1 Qc3 Rxb1+ Kd2 Rxd1+ Rxd1 Qxc3+ Kxc3 gxf6 Bxf6 Rg8 g3 Kd7 Rb1 Rb8 Ra1 Rb5 Kd2 Ra5 Rb1 Kd6 Kd3 Ra3+ Rb3 Ra6 Rb7 Ra3+ Kd2 Ra7 Be7+ Nxe7 Rxa7 f6 g4 h6 Ke3 f5 h3 Ng8 Rg7 Nf6 gxf5 exf5 Rg6,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 c1g5 e7e6 d1d2 a7a6 e1c1 c8d7 f2f4 b7b5 f1b5 a6b5 d4b5 c6b4 a2a3 d7b5 c3b5 d6d5 e4e5 d8a5 b5c3 b4c6 e5f6 f8a3 c3b1 a3b2 c1b2 a8b8 b2c1 a5a1 d2c3 b8b1 c1d2 b1d1 h1d1 a1c3 d2c3 g7f6 g5f6 h8g8 g2g3 e8d7 d1b1 g8b8 b1a1 b8b5 c3d2 b5a5 a1b1 d7d6 d2d3 a5a3 b1b3 a3a6 b3b7 a6a3 d3d2 a3a7 f6e7 c6e7 b7a7 f7f6 g3g4 h7h6 d2e3 f6f5 h2h3 e7g8 a7g7 g8f6 g4f5 e6f5 g7g6,
URS-chT,Moscow,1959.??.??,?,"Gaprindashvili, Nona",Goikhenberg,,,1-0,1,B28,75,e4 c5 Nf3 a6 d4 cxd4 Nxd4 Nf6 Nc3 e5 Nde2 Bb4 Bg5 h6 Bxf6 Qxf6 Qd3 Bc5 f3 Qb6 O-O-O Nc6 Nd5 Nb4 Nxb4 Qxb4 g4 d6 Kb1 Be6 Nc1 b5 h4 Rc8 c3 Qa4 Be2 Rc6 Qd2 b4 c4 Bd4 f4 f6 f5 Bf7 g5 Ke7 g6 Bg8 b3 Qa3 Rh3 Bxc4 Bxc4 Rxc4 Rd3 Bc3 bxc4 Bxd2 Rxa3 bxa3 Rxd2 Rc8 Rc2 Rb8+ Ka1 Kd7 Ne2 Rb4 Ng3 Kc6 Nh5 Rb7 Rc3,e2e4 c7c5 g1f3 a7a6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e5 d4e2 f8b4 c1g5 h7h6 g5f6 d8f6 d1d3 b4c5 f2f3 f6b6 e1c1 b8c6 c3d5 c6b4 d5b4 b6b4 g2g4 d7d6 c1b1 c8e6 e2c1 b7b5 h2h4 a8c8 c2c3 b4a4 f1e2 c8c6 d3d2 b5b4 c3c4 c5d4 f3f4 f7f6 f4f5 e6f7 g4g5 e8e7 g5g6 f7g8 b2b3 a4a3 h1h3 g8c4 e2c4 c6c4 h3d3 d4c3 b3c4 c3d2 d3a3 b4a3 d1d2 h8c8 d2c2 c8b8 b1a1 e7d7 c1e2 b8b4 e2g3 d7c6 g3h5 b4b7 c2c3,
URS-chT,Moscow,1959.??.??,?,"Rozlafra, Vija","Gaprindashvili, Nona",,,0-1,-1,B07,86,e4 d6 d4 g6 Nc3 Bg7 Be3 Nf6 f3 c6 Qd2 b5 a3 a6 Nge2 Nbd7 Ng3 h5 h4 Qc7 f4 Ng4 f5 Nxe3 Qxe3 Bh6 Qf3 Bb7 Nd1 c5 d5 Ne5 Qc3 Qb6 Nf2 c4 Nh3 Be3 Rd1 Rg8 fxg6 fxg6 Be2 a5 Nf1 Bh6 Qg3 Bc8 Bxh5 Bxh3 Rxh3 Kd7 Bg4+ Kc7 Bf3 b4 Qf2 Qxf2+ Kxf2 bxa3 bxa3 Rab8 Be2 Kb6 Rc3 Kc5 Ne3 Rgf8+ Kg1 Bxe3+ Rxe3 Rb2 Rd2 Rb1+ Rd1 Rxd1+ Bxd1 Kd4 Re1 Kc3 Re2 Kb2 c3+ Kxc3 Bc2 Rb8,e2e4 d7d6 d2d4 g7g6 b1c3 f8g7 c1e3 g8f6 f2f3 c7c6 d1d2 b7b5 a2a3 a7a6 g1e2 b8d7 e2g3 h7h5 h2h4 d8c7 f3f4 f6g4 f4f5 g4e3 d2e3 g7h6 e3f3 c8b7 c3d1 c6c5 d4d5 d7e5 f3c3 c7b6 d1f2 c5c4 f2h3 h6e3 a1d1 h8g8 f5g6 f7g6 f1e2 a6a5 g3f1 e3h6 c3g3 b7c8 e2h5 c8h3 h1h3 e8d7 h5g4 d7c7 g4f3 b5b4 g3f2 b6f2 e1f2 b4a3 b2a3 a8b8 f3e2 c7b6 h3c3 b6c5 f1e3 g8f8 f2g1 h6e3 c3e3 b8b2 d1d2 b2b1 d2d1 b1d1 e2d1 c5d4 e3e1 d4c3 e1e2 c3b2 c2c3 b2c3 d1c2 f8b8,
URS-chT,Moscow,1959.??.??,?,"Bilunova, Rimma I","Gaprindashvili, Nona",,,0-1,-1,B48,86,e4 c5 Nf3 e6 d4 cxd4 Nxd4 a6 Nc3 Qc7 a3 Nf6 Be2 Nc6 Be3 b5 f4 b4 axb4 Bxb4 Bf3 Bxc3+ bxc3 Ne7 Nb5 axb5 Rxa8 Qxc3+ Qd2 Qc6 e5 Ne4 Bxe4 Qxe4 Rb8 O-O Kf2 Nc6 Rxb5 Ba6 Rb6 Bc4 Re1 Bd5 Kg1 Ra8 Rb2 h6 Bb6 Qg6 c4 Bxc4 Qxd7 Bd5 Rd2 Be4 Rc1 Kh7 g3 Nb4 Qd4 Nd5 Rf1 h5 Bc5 h4 Kf2 Rb8 Re1 Bf5 Rb2 Rd8 Bd6 Rc8 Rg1 Bh3 Re1 Rc3 Rg1 Rd3 Qc5 Qe4 Re2 Qf3+ Ke1 Nc3,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 a7a6 b1c3 d8c7 a2a3 g8f6 f1e2 b8c6 c1e3 b7b5 f2f4 b5b4 a3b4 f8b4 e2f3 b4c3 b2c3 c6e7 d4b5 a6b5 a1a8 c7c3 d1d2 c3c6 e4e5 f6e4 f3e4 c6e4 a8b8 e8g8 e1f2 e7c6 b8b5 c8a6 b5b6 a6c4 h1e1 c4d5 f2g1 f8a8 b6b2 h7h6 e3b6 e4g6 c2c4 d5c4 d2d7 c4d5 b2d2 d5e4 e1c1 g8h7 g2g3 c6b4 d7d4 b4d5 c1f1 h6h5 b6c5 h5h4 g1f2 a8b8 f1e1 e4f5 d2b2 b8d8 c5d6 d8c8 e1g1 f5h3 g1e1 c8c3 e1g1 c3d3 d4c5 g6e4 b2e2 e4f3 f2e1 d5c3,
Wch (Women),Moscow,1962.??.??,1,"Bykova, Elisaveta I","Gaprindashvili, Nona",,,1/2-1/2,0,B08,104,d4 Nf6 Nc3 g6 e4 d6 Nf3 Bg7 Bc4 O-O O-O Bg4 h3 Bxf3 Qxf3 Nc6 Be3 e5 dxe5 Nxe5 Qe2 Nxe4 Nxe4 Nxc4 Qxc4 d5 Qb4 dxe4 Qxe4 b6 Rad1 Qe8 Qxe8 Rfxe8 b3 Be5 Rd3 Bd6 Rfd1 Re6 Bh6 Re2 R3d2 Re6 Kf1 Rae8 c3 f6 Be3 f5 Rd3 Kf7 Bd2 Kf6 Re1 Rxe1+ Bxe1 g5 Bd2 h5 c4 g4 Bc3+ Kg6 hxg4 hxg4 Rd5 a5 Bd4 Bb4 Be3 f4 Bd2 c6 Rd3 Bxd2 Rxd2 Re6 Rd4 Kf5 f3 g3 Rd8 b5 cxb5 cxb5 Ra8 Rc6 Rxa5 Rc2 Rxb5+ Kf6 a4 Rf2+ Kg1 Rb2 Kf1 Rf2+ Kg1 Rb2 Kf1 Rf2+ Kg1 Rb2,d2d4 g8f6 b1c3 g7g6 e2e4 d7d6 g1f3 f8g7 f1c4 e8g8 e1g1 c8g4 h2h3 g4f3 d1f3 b8c6 c1e3 e7e5 d4e5 c6e5 f3e2 f6e4 c3e4 e5c4 e2c4 d6d5 c4b4 d5e4 b4e4 b7b6 a1d1 d8e8 e4e8 f8e8 b2b3 g7e5 d1d3 e5d6 f1d1 e8e6 e3h6 e6e2 d3d2 e2e6 g1f1 a8e8 c2c3 f7f6 h6e3 f6f5 d2d3 g8f7 e3d2 f7f6 d1e1 e6e1 d2e1 g6g5 e1d2 h7h5 c3c4 g5g4 d2c3 f6g6 h3g4 h5g4 d3d5 a7a5 c3d4 d6b4 d4e3 f5f4 e3d2 c7c6 d5d3 b4d2 d3d2 e8e6 d2d4 g6f5 f2f3 g4g3 d4d8 b6b5 c4b5 c6b5 d8a8 e6c6 a8a5 c6c2 a5b5 f5f6 a2a4 c2f2 f1g1 f2b2 g1f1 b2f2 f1g1 f2b2 g1f1 b2f2 f1g1 f2b2,
Wch (Women),Moscow,1962.??.??,2,"Gaprindashvili, Nona","Bykova, Elisaveta I",,,1-0,1,B34,82,e4 c5 Nf3 g6 d4 cxd4 Nxd4 Nc6 Nc3 Bg7 Nxc6 bxc6 Bc4 e6 O-O Ne7 Qd6 Bb7 Bg5 h6 Bf4 Nc8 Qd2 d5 exd5 cxd5 Bb5+ Kf8 Na4 Kg8 Rfe1 Nd6 Bd3 Bc6 Nc5 Nc4 Qe2 Qf6 Qg4 e5 Bxc4 Qxf4 Qxf4 exf4 Ba6 Bxb2 Rab1 Ba3 Nd3 Bd6 Nb4 Bxb4 Rxb4 g5 Re7 Kg7 Rc7 Be8 Kf1 Kf6 Ke2 Ke5 Rbb7 f6 Kd2 Bg6 Re7+ Kd6 Rbd7+ Kc5 Re6 Bf5 Rc7+ Kb4 Rxf6 Raf8 Rfc6 Rb8 Rxa7 g4 a3+ Kxa3,e2e4 c7c5 g1f3 g7g6 d2d4 c5d4 f3d4 b8c6 b1c3 f8g7 d4c6 b7c6 f1c4 e7e6 e1g1 g8e7 d1d6 c8b7 c1g5 h7h6 g5f4 e7c8 d6d2 d7d5 e4d5 c6d5 c4b5 e8f8 c3a4 f8g8 f1e1 c8d6 b5d3 b7c6 a4c5 d6c4 d2e2 d8f6 e2g4 e6e5 d3c4 f6f4 g4f4 e5f4 c4a6 g7b2 a1b1 b2a3 c5d3 a3d6 d3b4 d6b4 b1b4 g6g5 e1e7 g8g7 e7c7 c6e8 g1f1 g7f6 f1e2 f6e5 b4b7 f7f6 e2d2 e8g6 c7e7 e5d6 b7d7 d6c5 e7e6 g6f5 d7c7 c5b4 e6f6 a8f8 f6c6 f8b8 c7a7 g5g4 a2a3 b4a3,
Wch (Women),Moscow,1962.??.??,3,"Bykova, Elisaveta I","Gaprindashvili, Nona",,,0-1,-1,D01,74,d4 Nf6 Nc3 d5 Bg5 Bf5 Bxf6 gxf6 e3 c6 Bd3 Bg6 f4 Bxd3 Qxd3 e6 e4 dxe4 Nxe4 f5 Nc3 Nd7 Nf3 Qc7 g3 O-O-O O-O-O Be7 Qe2 Bf6 Rd3 Nb6 Rhd1 Kb8 Ne5 h5 h4 Rdg8 Qe1 Nc8 Na4 Nd6 Nc5 Bd8 Rb3 Ka8 Qh1 Qc8 Qe1 b6 Na4 f6 Nd3 Ne4 Nb4 Be7 a3 Rh7 Re3 Rhg7 Rdd3 Qc7 Nc3 Nxg3 Rxe6 Ne4 Qe3 Rg3 Rxc6 Qd7 Qf3 Rxf3 Rxf3 Bxb4,d2d4 g8f6 b1c3 d7d5 c1g5 c8f5 g5f6 g7f6 e2e3 c7c6 f1d3 f5g6 f2f4 g6d3 d1d3 e7e6 e3e4 d5e4 c3e4 f6f5 e4c3 b8d7 g1f3 d8c7 g2g3 e8c8 e1c1 f8e7 d3e2 e7f6 d1d3 d7b6 h1d1 c8b8 f3e5 h7h5 h2h4 d8g8 e2e1 b6c8 c3a4 c8d6 a4c5 f6d8 d3b3 b8a8 e1h1 c7c8 h1e1 b7b6 c5a4 f7f6 e5d3 d6e4 d3b4 d8e7 a2a3 h8h7 b3e3 h7g7 d1d3 c8c7 a4c3 e4g3 e3e6 g3e4 e1e3 g7g3 e6c6 c7d7 e3f3 g3f3 d3f3 e7b4,
Wch (Women),Moscow,1962.??.??,4,"Gaprindashvili, Nona","Bykova, Elisaveta I",,,1-0,1,B34,84,e4 c5 Nf3 g6 d4 cxd4 Nxd4 Nc6 Nc3 Bg7 Nxc6 bxc6 Bc4 Qa5 Qf3 Nf6 O-O O-O Rb1 d6 b4 Qh5 Qxh5 Nxh5 Bd2 Bd7 a4 Nf6 Rfe1 Ng4 Ne2 Ne5 Bb3 Bg4 Be3 Bxe2 Rxe2 Ng4 Bg5 Nf6 e5 dxe5 Rxe5 e6 Ra5 Ne4 Be3 Bc3 Rxa7 Rxa7 Bxa7 Nd2 Rd1 Bxb4 Bb6 Rb8 a5 Nxb3 cxb3 Ra8 Ra1 Ra6 Kf1 Kf8 Ke2 Ke7 Kd3 Kd7 Kc4 Be7 b4 Kc8 b5 cxb5+ Kxb5 Ra8 Rd1 Bf6 a6 Bg5 Rd3 Bf6 Rf3 Bd8,e2e4 c7c5 g1f3 g7g6 d2d4 c5d4 f3d4 b8c6 b1c3 f8g7 d4c6 b7c6 f1c4 d8a5 d1f3 g8f6 e1g1 e8g8 a1b1 d7d6 b2b4 a5h5 f3h5 f6h5 c1d2 c8d7 a2a4 h5f6 f1e1 f6g4 c3e2 g4e5 c4b3 d7g4 d2e3 g4e2 e1e2 e5g4 e3g5 g4f6 e4e5 d6e5 e2e5 e7e6 e5a5 f6e4 g5e3 g7c3 a5a7 a8a7 e3a7 e4d2 b1d1 c3b4 a7b6 f8b8 a4a5 d2b3 c2b3 b8a8 d1a1 a8a6 g1f1 g8f8 f1e2 f8e7 e2d3 e7d7 d3c4 b4e7 b3b4 d7c8 b4b5 c6b5 c4b5 a6a8 a1d1 e7f6 a5a6 f6g5 d1d3 g5f6 d3f3 f6d8,
Wch (Women),Moscow,1962.??.??,5,"Bykova, Elisaveta I","Gaprindashvili, Nona",,,1/2-1/2,0,C85,180,e4 e5 Nf3 Nc6 Bb5 a6 Ba4 Nf6 O-O Be7 Bxc6 dxc6 d3 Nd7 Nc3 O-O Be3 c5 Nd5 Bd6 Bg5 f6 Bd2 Nb8 Ne3 Nc6 Nh4 Ne7 Nc4 Be6 h3 g5 Nf3 Qe8 Ne3 Qg6 g4 h5 Kg2 Rf7 Rh1 Rh7 Nf5 Kf7 Qe2 Rah8 Rag1 Bd7 Qd1 Qg8 Qc1 hxg4 hxg4 Nxf5 gxf5 g4 Ne1 Ke8 Rxh7 Qxh7 Kf1 Qh3+ Ke2 c4 Rg3 Qh5 Ng2 Bc5 Qg1 Rh7 Be3 Bf8 Bc1 Bc5 Bd2 Bb5 Be3 Bf8 Bd2 cxd3+ cxd3 Rd7 Ne1 Bc5 b3 Kd8 a4 Bc6 Nc2 Rg7 Be3 Bf8 Qc1 Rd7 Ne1 Bb4 Ng2 Qf7 Qc2 Qg8 Bc5 Bxc5 Qxc5 Rd6 Qc3 b5 a5 b4 Qxb4 Bb5 Qc3 Rd4 Kd1 Kc8 Kc2 Rd6 Qd2 Rc6+ Kb2 Qd8 Ne1 Qd4+ Ka2 Rc3 Nc2 Rxd3 Rxd3 Qxd3 Qxd3 Bxd3 Ne3 Bxe4 Nxg4 Bxf5 Nxf6 Kb7 Kb2 Kc6 Kc3 Kb5 Ne8 Kxa5 Nxc7 Kb6 Nd5+ Kc5 Ne3 Bg6 b4+ Kd6 Kb3 Be8 Kc4 Bb5+ Kc3 Ke6 Kd2 Kd6 Kc2 Ke6 Kc1 e4 Kd2 Ke5 Kc3 Kf4 Kd2 Bd3 Nd1 Kf3 Ke1 Bb5 Ne3 Bd3 Nf5 Kf4 Ne3 Ke5 Kd2 Kd4,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 a4c6 d7c6 d2d3 f6d7 b1c3 e8g8 c1e3 c6c5 c3d5 e7d6 e3g5 f7f6 g5d2 d7b8 d5e3 b8c6 f3h4 c6e7 e3c4 c8e6 h2h3 g7g5 h4f3 d8e8 c4e3 e8g6 g2g4 h7h5 g1g2 f8f7 f1h1 f7h7 e3f5 g8f7 d1e2 a8h8 a1g1 e6d7 e2d1 g6g8 d1c1 h5g4 h3g4 e7f5 g4f5 g5g4 f3e1 f7e8 h1h7 g8h7 g2f1 h7h3 f1e2 c5c4 g1g3 h3h5 e1g2 d6c5 c1g1 h8h7 d2e3 c5f8 e3c1 f8c5 c1d2 d7b5 d2e3 c5f8 e3d2 c4d3 c2d3 h7d7 g2e1 f8c5 b2b3 e8d8 a2a4 b5c6 e1c2 d7g7 d2e3 c5f8 g1c1 g7d7 c2e1 f8b4 e1g2 h5f7 c1c2 f7g8 e3c5 b4c5 c2c5 d7d6 c5c3 b7b5 a4a5 b5b4 c3b4 c6b5 b4c3 d6d4 e2d1 d8c8 d1c2 d4d6 c3d2 d6c6 c2b2 g8d8 g2e1 d8d4 b2a2 c6c3 e1c2 c3d3 g3d3 d4d3 d2d3 b5d3 c2e3 d3e4 e3g4 e4f5 g4f6 c8b7 a2b2 b7c6 b2c3 c6b5 f6e8 b5a5 e8c7 a5b6 c7d5 b6c5 d5e3 f5g6 b3b4 c5d6 c3b3 g6e8 b3c4 e8b5 c4c3 d6e6 c3d2 e6d6 d2c2 d6e6 c2c1 e5e4 c1d2 e6e5 d2c3 e5f4 c3d2 b5d3 e3d1 f4f3 d2e1 d3b5 d1e3 b5d3 e3f5 f3f4 f5e3 f4e5 e1d2 e5d4,
Wch (Women),Moscow,1962.??.??,6,"Gaprindashvili, Nona","Bykova, Elisaveta I",,,1-0,1,B27,89,e4 c5 Nf3 g6 Bc4 Nc6 O-O Bg7 c3 Nh6 d4 cxd4 cxd4 O-O Nc3 d6 h3 Kh8 Bf4 f6 Qd2 Nf7 a3 b6 b4 Bb7 Rac1 e5 Be3 Ne7 Qa2 Qe8 Nb5 d5 exd5 Qd7 dxe5 fxe5 d6 Nf5 Nc7 Bxf3 Bxf7 Bb7 Nxa8 Bxa8 Bd5 Qxd6 Bxa8 Rxa8 Rfd1 Qf6 Rc7 Nd4 Rdc1 h6 Rc8+ Rxc8 Rxc8+ Bf8 Bxh6 Ne6 Re8 Ng7 Bxg7+ Kxg7 Qd5 e4 g3 Qa1+ Kg2 Qxa3 Qd7+ Kg8 Qe6+ Kg7 Qe5+ Kg8 Qe6+ Kg7 Qe5+ Kg8 Qxe4 Kg7 Re6 Qxb4 Qxg6+ Kh8 Re4,e2e4 c7c5 g1f3 g7g6 f1c4 b8c6 e1g1 f8g7 c2c3 g8h6 d2d4 c5d4 c3d4 e8g8 b1c3 d7d6 h2h3 g8h8 c1f4 f7f6 d1d2 h6f7 a2a3 b7b6 b2b4 c8b7 a1c1 e7e5 f4e3 c6e7 d2a2 d8e8 c3b5 d6d5 e4d5 e8d7 d4e5 f6e5 d5d6 e7f5 b5c7 b7f3 c4f7 f3b7 c7a8 b7a8 f7d5 d7d6 d5a8 f8a8 f1d1 d6f6 c1c7 f5d4 d1c1 h7h6 c7c8 a8c8 c1c8 g7f8 e3h6 d4e6 c8e8 e6g7 h6g7 h8g7 a2d5 e5e4 g2g3 f6a1 g1g2 a1a3 d5d7 g7g8 d7e6 g8g7 e6e5 g7g8 e5e6 g8g7 e6e5 g7g8 e5e4 g8g7 e8e6 a3b4 e4g6 g7h8 e6e4,
Wch (Women),Moscow,1962.??.??,7,"Bykova, Elisaveta I","Gaprindashvili, Nona",,,0-1,-1,C84,118,e4 e5 Nf3 Nc6 Bb5 a6 Ba4 Nf6 O-O b5 Bb3 Be7 d4 d6 dxe5 dxe5 Qe2 Bg4 c3 O-O Rd1 Qe8 Bg5 h6 Bh4 Nh5 Bg3 Bc5 Nbd2 Rd8 Nf1 Nf4 Bxf4 exf4 h3 Bxf3 Qxf3 Ne5 Qe2 f3 gxf3 Ng6 Ng3 Qe5 Kh1 Qf4 Rxd8 Rxd8 Rd1 Rxd1+ Bxd1 Qh4 Kh2 Nf4 Qf1 g6 Bc2 Bxf2 Qxf2 Nxh3 Qe1 Ng5+ Kg2 Qh3+ Kf2 Qh2+ Ke3 Qxc2 f4 Ne6 f5 Nc5 Qd2 Qxd2+ Kxd2 Kg7 b3 Kf6 fxg6 fxg6 Ke3 Ke5 c4 b4 Ne2 Ne6 Ng1 Nd4 Nh3 g5 Nf2 Nc2+ Kd2 Na3 Ke3 h5 Nd3+ Ke6 Nxb4 a5 Nc6 Nc2+ Kd2 h4 Ke2 g4 Kf2 Kd6 Nxa5 Ke5 Nc6+ Kxe4 Ne7 g3+ Kg1 h3 Ng6 Ne1,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 b7b5 a4b3 f8e7 d2d4 d7d6 d4e5 d6e5 d1e2 c8g4 c2c3 e8g8 f1d1 d8e8 c1g5 h7h6 g5h4 f6h5 h4g3 e7c5 b1d2 a8d8 d2f1 h5f4 g3f4 e5f4 h2h3 g4f3 e2f3 c6e5 f3e2 f4f3 g2f3 e5g6 f1g3 e8e5 g1h1 e5f4 d1d8 f8d8 a1d1 d8d1 b3d1 f4h4 h1h2 g6f4 e2f1 g7g6 d1c2 c5f2 f1f2 f4h3 f2e1 h3g5 h2g2 h4h3 g2f2 h3h2 f2e3 h2c2 f3f4 g5e6 f4f5 e6c5 e1d2 c2d2 e3d2 g8g7 b2b3 g7f6 f5g6 f7g6 d2e3 f6e5 c3c4 b5b4 g3e2 c5e6 e2g1 e6d4 g1h3 g6g5 h3f2 d4c2 e3d2 c2a3 d2e3 h6h5 f2d3 e5e6 d3b4 a6a5 b4c6 a3c2 e3d2 h5h4 d2e2 g5g4 e2f2 e6d6 c6a5 d6e5 a5c6 e5e4 c6e7 g4g3 f2g1 h4h3 e7g6 c2e1,
